[il],[ilce],[mahalle/koy],[lat],[lon]
ADANA, KOZAN, DURMUŞLU MAH., 37.511006, 35.836051
ADANA, KOZAN, DÜZAĞAÇ MAH., 37.579685, 35.819873
ADANA, KOZAN, ENİZÇAKIRI MAH., 37.520522, 35.554232
ADANA, KOZAN, ERGENUŞAĞI MAH., 37.634107, 35.594845
ADANA, KOZAN, ESKİKABASAKAL MAH., 37.436166, 35.853730
ADANA, KOZAN, ESKİMANTAŞ MAH., 37.528035, 35.911213
ADANA, KOZAN, FAYDALI MAH., 37.342075, 35.894424
ADANA, KOZAN, FERHATLI MAH., 37.497830, 35.880114
ADANA, KOZAN, GAZİ MAH., 37.297235, 35.853766
ADANA, KOZAN, GEDİKLİ MAH., 37.522669, 35.881919
ADANA, KOZAN, GÖKÇEYOL MAH., 37.295599, 35.806802
ADANA, KOZAN, GÖKGÖZ MAH., 37.595183, 35.625944
ADANA, KOZAN, GÖRBEYAZ MAH., 37.769905, 35.665390
ADANA, KOZAN, GÜNERİ MAH., 37.454072, 35.772253
ADANA, KOZAN, HACIBEYLİ MAH., 37.312720, 35.878910
ADANA, KOZAN, HACIMİRZALI MAH., 37.471465, 35.810791
ADANA, KOZAN, HACIUŞAĞI MAH., 37.447175, 35.815803
ADANA, KOZAN, HAMAM MAH., 37.317334, 35.817582
ADANA, KOZAN, ILICA MAH., 37.474666, 35.899661
ADANA, KOZAN, IŞIKKAYA MAH., 37.684070, 35.547459
ADANA, KOZAN, IŞIKLI MAH., 37.367468, 35.803568
ADANA, KOZAN, İDEMKÖY MAH., 37.387992, 35.733904
ADANA, KOZAN, KABAKTEPE MAH., 37.615052, 35.769001
ADANA, KOZAN, KAHVELİ MAH., 37.471200, 35.774948
ADANA, KOZAN, KALKUMAÇ MAH., 37.707341, 35.665866
ADANA, KOZAN, KAPIKAYA MAH., 37.747404, 35.621911
ADANA, KOZAN, KARABUCAK MAH., 37.629164, 35.886986
ADANA, KOZAN, KARACAOĞLAN MAH., 37.465150, 35.820376
ADANA, KOZAN, KARACAÖREN MAH., 37.434225, 35.711940
ADANA, KOZAN, KARAHAMZALI MAH., 37.563633, 35.950937
ADANA, KOZAN, KARANEBİLİ MAH., 37.579778, 35.734874
ADANA, KOZAN, KEMERKÖY MAH., 37.500786, 35.744693
ADANA, KOZAN, KIBRISLAR MAH., 37.650773, 35.701035
ADANA, KOZAN, KIZILLAR MAH., 37.514941, 35.708760
ADANA, KOZAN, KIZLARSEKİSİ MAH., 37.603024, 35.619243
ADANA, KOZAN, KÖSELİ MAH., 37.520580, 35.759847
ADANA, KOZAN, KUYTUCAK MAH., 37.579442, 35.723097
ADANA, KOZAN, KUYUBELİ MAH., 37.681257, 35.980105
ADANA, KOZAN, KUYULUK MAH., 37.382136, 35.865076
ADANA, KOZAN, MAHMUTLU MAH., 37.437850, 35.817905
ADANA, KOZAN, MAHYALAR MAH., 37.662785, 35.925263
ADANA, KOZAN, MARANKEÇİLİ MAH., 37.680215, 35.634694
ADANA, KOZAN, MİNNETLİ MAH., 37.594412, 35.924140
ADANA, KOZAN, ORÇAN MAH., ---, ---
ADANA, KOZAN, ORUÇLU MAH., 37.498875, 35.770151
ADANA, KOZAN, ÖRENDERE MAH., 37.551347, 35.780140
ADANA, KOZAN, ÖZBAŞI MAH., ---, ---
ADANA, KOZAN, PEKMEZCİ MAH., 37.356619, 35.859668
ADANA, KOZAN, POSTKABASAKAL MAH., 37.486800, 35.666908
ADANA, KOZAN, SALMANLI MAH., 37.597149, 35.637694
ADANA, KOZAN, ŞERİFLİ MAH., 37.692780, 35.928614
ADANA, KOZAN, ŞEVKİYE MAH., 37.451673, 35.800074
ADANA, KOZAN, TAŞ MAH., 37.448944, 35.813459
